cc,bits,count,pairs,min_gap_log2,median_gap_log2,mean_gap_log2,min_gap_hex,median_gap_hex,mean_gap_hex,max_gap_hex
14,86,26,25,68,79,80,0x17ddce988f15eb1eb8,0x9d5654fc38f0d87e6e08,0x11883a91f0730d869cc0c,0x63780e0d1ca8fd3d421d4
14,87,46,45,67,80,80,0x9c4ed17e3cdc076da,0x1288dac3cd38b0d6c7314,0x165252e4731429c045514,0x98907f02eda584d246ccc
14,88,144,143,66,72,79,0x5c43c7b76b832cf20,0x175a9c926da06acec2a,0xe3433738321f2c40ffd8,0x9b10b3cbd291846effb36
14,89,128,127,67,80,80,0xc3b78a3277008bc40,0x164ebc887582a341b45ec,0x1fcbb752146a05bf75bed,0x917fe29c69958f696e75c
14,90,254,253,66,80,81,0x6a84989e46c42bc2e,0x12381f7604ce9bead0848,0x2045d5d50d40f1a2eeb3e,0xebfccbfa0ee97b4001758
14,91,98,97,72,83,83,0x12ca0b4b447a5cec754,0x87935f0d80d5ee752e47c,0xa80dadd29501ed8da37d5,0x357fe3906d08b12d3ff55c
14,92,2,1,90,90,90,0x45baf08c7c1c49ea3608a04,0x45baf08c7c1c49ea3608a04,0x45baf08c7c1c49ea3608a04,0x45baf08c7c1c49ea3608a04
15,66,2,1,60,60,60,0x17b9d8efd443f08a,0x17b9d8efd443f08a,0x17b9d8efd443f08a,0x17b9d8efd443f08a
15,67,4,3,63,63,63,0x88aad408deac4114,0xeb95058cb7bcc936,0xe4a67e6b55cc1062,0x139b3a1ac6afb26dc
15,68,2,1,64,64,64,0x184caa2b75723e2cc,0x184caa2b75723e2cc,0x184caa2b75723e2cc,0x184caa2b75723e2cc
15,69,6,5,62,65,65,0x56abe6164bfd964e,0x229084ffcfad6c5e8,0x31846aa16561a9904,0x635cf0d53b22a3f96
15,70,5,4,64,65,65,0x18fa2b0500855f776,0x3d9c6897aa0775a8b,0x3d7616fc99c505692,0x61a55fbe127fcadbc
15,71,11,10,64,65,66,0x13fe68ad3910fee34,0x39d81b3e845637ea1,0x574ad256596dcd679,0xe7f69eb5cd4fcf2ce
15,72,9,8,65,67,67,0x32828e6e6e0d6aed2,0x85e9475269e07dde6,0xa4d51cd06ff0368ae,0x160f0769bae8827772
15,73,21,20,63,67,67,0xd5dbe18f25a6794e,0x985cf7883f81f72fb,0xbcbbe20e13d2c2a44,0x1ef04900e592c88a18
15,74,17,16,63,68,68,0xe133166493d49626,0x14f5c743bd5cc9831a,0x1e5a0af351b094a8d2,0x5cd7c10d9ec7a9477a
15,75,12,11,66,69,70,0x67e61906f01b5aa04,0x2db749409c68e09fc0,0x46c79afc58ab294218,0xae796633737712a7a8
15,76,35,34,61,69,69,0x37ed8373b620770e,0x266d4b9edd9521709b,0x3769a992dd46895964,0x11e2de2d1086d5f8892
15,77,2,1,73,73,73,0x2f03b7789630d7b80a0,0x2f03b7789630d7b80a0,0x2f03b7789630d7b80a0,0x2f03b7789630d7b80a0
15,85,1,0,,,,,,
15,86,5,4,74,80,80,0x555484eabc73fe7abc8,0x19c0d5b598eea85b97f59,0x1ce49003aa19b510fd054,0x3fbb401e8bcd0f8e496d8
15,87,9,8,78,80,81,0x76d65fa7d0830db21744,0x1f60ee0f985f501562653,0x389e4b49fea9a04ebaa83,0xab787e597114f672f4e6c
15,88,20,19,72,82,82,0x1c2903fb5d2d619579c,0x4ec59126fd171cfd556d6,0x5da9ac9437215b185d8e0,0x13f3ad60a7b9c1fca6133e
15,89,28,27,78,82,83,0x41ad75bfdc582d8aa51c,0x5ab60d0dbaaaf7226acfc,0x95232aff715785c85e716,0x339767565a53fbd58bed60
15,90,35,34,69,83,83,0x2aa630c74a6eef314e,0x954d850942d15138d07dc,0xe779e6f7c26cd5f73895e,0x45b41f45066217b851f66c
