gap_log2,gap_hex,gap_decimal_approx,cc,bits,root1_hex,root2_hex
51,0x850bdf114e594,2340576537404820,10,89,0x1f5c4376099c8d6a8a943af,0x1f5c43760a2199499be2943
51,0x85f574aeeec2a,2356628337650730,10,88,0xb3b3f91b47a78740666947,0xb3b3f91b5006de8b555571
51,0x866e6d1b32848,2364941360375880,10,90,0x2b68933ca282ac7f470ba39,0x2b68933ca3091aec623e281
51,0x8689f387fd850,2366832870676560,10,90,0x3a56b6d45a5035a016578bf,0x3a56b6d45ad6bf939e5510f
51,0x86a22c2c986ee,2368497343104750,10,90,0x244eca62ba93b552d2da493,0x244eca62bb1a577eff72b81
51,0x86f4ec4f3d362,2374183916131170,10,88,0x913d7dd444923f8deffdf1,0x913d7dd44d018e52e3d153
51,0x8747d9dad895e,2379882678815070,10,87,0x489edf393129e96d091bfb,0x489edf39399e670ab6a559
51,0x8769c7cf5cb2e,2382214297144110,10,89,0x1a201c0cd5b20e8c464aa39,0x1a201c0cd639785415a7567
51,0x8797b1add3710,2385369452328720,10,90,0x3db7854300616f2b4dfb2f9,0x3db7854300e906dcfbcea09
51,0x87c35cf5a72d6,2388370367607510,10,90,0x2aec201b0fc5c6f1f995c29,0x2aec201b104d8a4eef3ceff
51,0x8856445f78abe,2398465530759870,10,88,0xbb16621e651ddd6448cc87,0xbb16621e6da341aa405745
51,0x88ac00b4e3938,2404357241715000,10,90,0x29cc11e85f8d5e9fa6c0d19,0x29cc11e860160aa05ba4651
51,0x88bfa9c1a7662,2405708290750050,10,90,0x2d36d338f932d90656f64b9,0x2d36d338f9bb98b0189db1b
51,0x89662fbda3160,2417151690027360,12,77,0x1602b4be32be6ea31489,0x1602b4c6c9216a7d45e9
51,0x89ead90ee3998,2426268111747480,10,88,0xd2de31092e4788da2bbcf7,0xd2de310936e6366b19f68f
51,0x8a6464f49c6d8,2434620721841880,10,88,0x989fb19a587a6b557ebdd7,0x989fb19a6120b1a4c884af
51,0x8b0717da53ffa,2445801299460090,10,89,0x125134028b4775f5ee91e11,0x125134028bd27d0dc8e5e0b
51,0x8b1d36c09df4a,2447321422487370,10,91,0x774bb745247c64b6caefc35,0x774bb745250781ed8b8db7f
51,0x8b4370ee49a06,2449948379748870,10,90,0x34daa4bb13ed8730041d907,0x34daa4bb1478caa0f26730d
51,0x8b44057833dae,2449988252810670,10,87,0x4255f013a2b7e59f93ecd5,0x4255f013ab6c25f7172a83
51,0x8bf7c25251ade,2462339733723870,10,90,0x289d9c927837df49bed92c3,0x289d9c9278c3d70c112ada1
51,0x8c094b4d69c7a,2463544735341690,12,66,0x2393d058f8cd3e5ab,0x23945c62441aa8225
51,0x8c15baed10b22,2464399332805410,10,89,0x1fcbd415aecbe61768a4a4f,0x1fcbd415af57fbd255b5571
51,0x8cd8aaa649474,2477795261584500,10,90,0x2d89dc253325a908aa95a1f,0x2d89dc2533b281b350dee93
51,0x8d082e45a4d72,2481060409134450,10,90,0x320b3bebbd9a0cfc367870b,0x320b3bebbe27152a7c1d47d
