# generated 2026-05-14 from ../data/cc10plus_roots_snapshot_2026-03-19.csv
# via scripts/build_known_fingerprints_exp.py (predicate: count exponent of q in (p+1) for q in [3, 5, 7, 11, 13, 17, 19, 23, 29, 31, 37, 41, 43, 47, 53, 59, 61])
# variant D: freq >= 10 (drops singleton/rare-pair tail)
# augmented with pinned sieve set {2, 3, 5} (--immune-prime 5)
# format: P1[^e]*P2[^e]*... (^e omitted when e=1)
# total scanned: 1551489 CC10-99 roots
# raw unique exponent shapes: 28514
# after freq >= 10 filter: 4248 pool entries
# coverage of CC10+ data: 1501565/1551489 = 96.78%
# D_V bit-range: min=12.07 max=36.84 span=24.77 bits
2*3^2*5^2*11*13*19*43  # freq=596 bits=25.65
2*3*5^2*11*13  # freq=589 bits=14.39
2*3^2*5*11^2*13^2*19  # freq=589 bits=25.06
2*3*5*11*13*19*31*37  # freq=588 bits=26.48
2*3*5*11*13^2*19*53  # freq=587 bits=25.74
2*3*5^2*11*13*17*19*23  # freq=586 bits=27.25
2*3*5^3*11*13*19^2  # freq=585 bits=25.21
2*3*5*7*11*13^2*19*23  # freq=580 bits=27.35
2*3^3*5^2*11^2*13*19  # freq=580 bits=25.27
2*3*5^2*7*11*13*19*31  # freq=577 bits=26.40
2*3^2*5*7*11*13*19*59  # freq=576 bits=26.59
2*3*5*7^2*11*13*19^2  # freq=574 bits=26.18
2*3*5*11^2*13*19*61  # freq=567 bits=25.70
2*3^2*5*7*11*13*19*61  # freq=565 bits=26.64
2*3*5^4*7*11*13*19  # freq=555 bits=26.09
2*3*5*7*11^2*13*19*23  # freq=553 bits=27.11
2*3^2*5*11*13^3*19  # freq=549 bits=25.30
2*3*5*7^2*11*13*19*37  # freq=547 bits=27.14
2*3*5*11*13*19*23*61  # freq=544 bits=26.77
2*3^4*5*11*13*19*37  # freq=544 bits=26.28
2*3*5*11*13^2*19*59  # freq=539 bits=25.90
2*3^4*5*11*13*19^2  # freq=539 bits=25.32
2*3*5*11*13*19*37*43  # freq=537 bits=26.95
2*3*5*11*13*19^2*31  # freq=534 bits=25.52
2*3^2*5^2*7*11*13*17*19  # freq=531 bits=27.12
2*3*5^2*11*13^2*17*19  # freq=529 bits=26.42
2*3*5^2*7*11*13*19*47  # freq=527 bits=27.00
2*3^4*5^2*7*11*13*19  # freq=524 bits=26.20
2*3*5^2*11*13*19*23*29  # freq=523 bits=28.02
2*3*5^2*7*11*13*19*43  # freq=518 bits=26.87
2*3*5*11*13*19*37*47  # freq=512 bits=27.08
2*3^2*5^2*7*11*13*19*29  # freq=510 bits=27.89
2*3^2*5*11*13*17*19*41  # freq=509 bits=27.34
2*3*5*7*11*13*17^2*19  # freq=506 bits=27.30
2*3*5^2*11^2*13*19*29  # freq=506 bits=26.95
2*3^2*5^2*11*13*19*53  # freq=503 bits=25.95
2*3^2*5*11*13*19*29*37  # freq=501 bits=27.97
2*3*5*11*13*19^2*43  # freq=492 bits=25.99
2*3*5^5*11*13*19  # freq=489 bits=25.60
2*3*5*11*13^2*19*61  # freq=488 bits=25.95
2*3^2*5*7^3*11*13*19  # freq=485 bits=26.32
2*3^2*5^2*7*11^2*13*19  # freq=485 bits=26.49
2*3^3*5^2*11*13*19*23  # freq=484 bits=26.33
2*3^2*5*11*13*17*19*31  # freq=482 bits=26.94
2*3*5*11*13*19^2*47  # freq=481 bits=26.12
2*3^2*5*11*13*19^2*29  # freq=479 bits=27.01
2*3*5*7^2*11*13*19*41  # freq=471 bits=27.29
2*3*5^2*11*13*17^2*19  # freq=465 bits=26.81
2*3*5^3*11*13*19*41  # freq=465 bits=26.32
2*3^2*5^3*11*13*17*19  # freq=462 bits=26.63
2*3^3*5^2*11*13^2*19  # freq=462 bits=25.51
2*3*5*7*11*13*17*19*37  # freq=458 bits=28.42
2*3*5*7*11*13*17*19^2  # freq=457 bits=27.46
2*3*5*7*11^2*13^2*19  # freq=455 bits=26.28
2*3*5*11*13*19*31*41  # freq=454 bits=26.63
2*3*5^3*7^2*11*13*19  # freq=450 bits=26.57
2*3*5^2*11^3*13*19  # freq=445 bits=25.56
2*3^3*5*7*11*13*19^2  # freq=445 bits=26.54
2*3^4*5*11*13*19*41  # freq=445 bits=26.43
2*3^2*5*11*13*19*29*41  # freq=444 bits=28.12
2*3^5*5*11*13*17*19  # freq=444 bits=26.74
2*3^2*5^2*11*13*19*61  # freq=441 bits=26.15
2*3*5*11*13*19*41*43  # freq=439 bits=27.10
2*3^2*5*11^2*13*19*37  # freq=437 bits=26.57
2*3^4*5*11*13*19*31  # freq=437 bits=26.02
2*3^2*5*11*13*17*19*47  # freq=436 bits=27.54
2*3*5*11*13*19*37*53  # freq=433 bits=27.25
2*3^2*5^2*11*13*19*59  # freq=432 bits=26.10
2*3^3*5*7*11*13*19*37  # freq=429 bits=27.50
2*3*5^2*11^2*13*19*23  # freq=426 bits=26.62
2*3*5^2*7*11*13*19*53  # freq=424 bits=27.17
2*3^2*5*11*13*17*19*43  # freq=422 bits=27.41
2*3^2*5*11^2*13*19^2  # freq=422 bits=25.61
2*3*5*7^2*11*13*19*31  # freq=421 bits=26.88
2*3*5*11*13*19*41*47  # freq=419 bits=27.23
2*3*5*7*11*13^3*19  # freq=418 bits=26.52
2*3*5*11*13*17  # freq=417 bits=16.15
2*3*5*7*11*13*19*29*37  # freq=409 bits=29.19
2*3^4*5^3*11*13*19  # freq=409 bits=25.71
2*3*5^2*11*13^2*19*29  # freq=407 bits=27.20
2*3^2*5^2*7*11*13*19*23  # freq=407 bits=27.55
2*3^2*5*11*13*19*23*37  # freq=404 bits=27.63
2*3*5^3*11*13*19*31  # freq=403 bits=25.91
2*3^2*5*7^2*11*13*17*19  # freq=401 bits=27.60
2*3^2*5*11^2*13*19*41  # freq=400 bits=26.72
