# generated 2026-05-14 from ../data/cc10plus_roots_snapshot_2026-03-19.csv
# via scripts/build_known_fingerprints_all.py (predicate: q in fp iff q|(p+1); palette [3, 5, 7, 11, 13, 17, 19, 23, 29, 31, 37, 41, 43, 47, 53, 59, 61])
# ALL unique immune fingerprints in CC10-99 band (1551489 roots scanned, 0 with empty raw fp)
# augmented with pinned sieve set {2, 3, 5} (--immune-prime 5) — v16 requires D_V superset of D_sieve
# format: P1*P2*...*Pk  # freq=NNN bits=BB.B  (one D_V per line)
# total unique D_V: 1372
# D_V bit-range: min=12.07 max=47.37 span=35.31 bits
2*3*5*11*13*19*37*41*59  # freq=38 bits=32.76
2*3*5*11*13*17*41  # freq=37 bits=21.51
2*3*5*11*13*19*31*41*53  # freq=37 bits=32.35
2*3*5*11*13*19*31*53*59  # freq=37 bits=32.88
2*3*5*11*13*19*41*43*47  # freq=37 bits=32.65
2*3*5*7*11*13*17*19*37*59  # freq=36 bits=34.30
2*3*5*7*11*13*19*23*37*43  # freq=36 bits=34.28
2*3*5*7*11*13*19*29*37*59  # freq=36 bits=35.07
2*3*5*11*13*19*23*53*61  # freq=36 bits=32.50
2*3*5*11*13*19*37*41*61  # freq=36 bits=32.81
2*3*5*7*11*13*17*19*31*43  # freq=35 bits=33.59
2*3*5*7*11*13*17*19*41*53  # freq=35 bits=34.29
2*3*5*11*13*19*37*47*61  # freq=35 bits=33.01
2*3*5*11*13*23*41  # freq=35 bits=21.95
2*3*5*7*11*13*19*23*41*47  # freq=34 bits=34.56
2*3*5*7*11*13*19*29*31*47  # freq=34 bits=34.49
2*3*5*7*11*13*17*19*31*47  # freq=33 bits=33.72
2*3*5*7*11*13*19*23*31*37  # freq=33 bits=33.81
2*3*5*11*13*17*47  # freq=33 bits=21.71
2*3*5*7*11*13*17*19*37*61  # freq=32 bits=34.35
2*3*5*11*13*17*43  # freq=32 bits=21.58
2*3*5*7*11*13*19*29*31*61  # freq=31 bits=34.86
2*3*5*11*13*17*19*29*37*41  # freq=31 bits=35.83
2*3*5*11*13*19*31*43*47  # freq=31 bits=32.25
2*3*5*11*13*23*37  # freq=31 bits=21.80
2*3*5*7*11*13*19*29*43*47  # freq=30 bits=34.96
2*3*5*11*13*17*19*23*29*41  # freq=30 bits=35.14
2*3*5*11*13*19*31*43*53  # freq=30 bits=32.42
2*3*5*11*13*19*37*47*53  # freq=30 bits=32.81
2*3*5*11*13*29*43  # freq=30 bits=22.35
2*3*5*7*11*13*17*19*31*53  # freq=29 bits=33.89
2*3*5*7*11*13*17*19*41*61  # freq=29 bits=34.50
2*3*5*7*11*13*19*23*37*53  # freq=29 bits=34.58
2*3*5*7*11*13*19*23*41*43  # freq=29 bits=34.43
2*3*5*7*11*13*19*29*31*59  # freq=29 bits=34.82
2*3*5*7*11*13*19*29*47*53  # freq=29 bits=35.26
2*3*5*11*13*19*31*37*61  # freq=29 bits=32.41
2*3*5*11*13*19*31*47*53  # freq=29 bits=32.55
2*3*5*11*13*19*37*43*53  # freq=29 bits=32.68
2*3*5*11*13*19*37*47*59  # freq=29 bits=32.96
2*3*5*7*11*13*17*19*47*53  # freq=28 bits=34.49
2*3*5*7*11*13*17*19*53*59  # freq=28 bits=34.82
2*3*5*7*11*13*19*23*43*47  # freq=28 bits=34.63
2*3*5*11*13*17*19*23*29*47  # freq=28 bits=35.34
2*3*5*7*11*13*17*29  # freq=27 bits=23.82
2*3*5*7*11*13*19*29*41*53  # freq=27 bits=35.07
2*3*5*7*11*13*19*29*41*59  # freq=27 bits=35.22
2*3*5*11*13*17*19*23*29*43  # freq=27 bits=35.21
2*3*5*11*13*19*31*41*61  # freq=27 bits=32.56
2*3*5*11*13*19*37*53*59  # freq=27 bits=33.13
2*3*5*11*13*19*41*43*61  # freq=27 bits=33.03
2*3*5*11*13*19*41*47*53  # freq=27 bits=32.95
2*3*5*7*11*13*17*19*43*47  # freq=26 bits=34.19
2*3*5*7*11*13*17*19*43*61  # freq=26 bits=34.57
2*3*5*7*11*13*19*23*37*61  # freq=26 bits=34.79
2*3*5*11*13*29*41  # freq=26 bits=22.28
2*3*5*7*11*13*19*29*31*53  # freq=25 bits=34.66
2*3*5*11*13*17*61  # freq=25 bits=22.08
2*3*5*11*13*19*31*43*59  # freq=25 bits=32.58
2*3*5*11*13*19*41*43*59  # freq=25 bits=32.98
2*3*5*11*13*29*31  # freq=25 bits=21.88
2*3*5*7*11*13*17*19*31*59  # freq=24 bits=34.05
